year,month,regionalHQ,dispatch,transport,patient
2020,1,center,0,0,0
2020,2,center,2,2,2
2020,3,center,2,1,1
2020,4,center,2,2,2
2020,5,center,5,3,3
2020,6,center,3,3,3
2020,7,center,5,5,5
2020,8,center,7,2,2
2020,9,center,6,6,6
2020,10,center,12,12,12
2020,11,center,7,7,7
2020,12,center,1,0,0
2020,1,seoul,42165,27288,27466
2020,2,seoul,35958,21610,21765
2020,3,seoul,34796,19522,19640
2020,4,seoul,35450,20337,20464
2020,5,seoul,40967,23746,23930
2020,6,seoul,42018,24260,24446
2020,7,seoul,43473,25345,25542
2020,8,seoul,44456,23836,24173
2020,9,seoul,38540,21345,21541
2020,10,seoul,41397,23256,23427
2020,11,seoul,38379,22220,22544
2020,12,seoul,36351,20756,21529
2020,1,busan,15746,9746,9832
2020,2,busan,12946,7436,7498
2020,3,busan,12863,6778,6846
2020,4,busan,13181,7076,7138
2020,5,busan,14713,8227,8296
2020,6,busan,14992,8513,8604
2020,7,busan,15932,8938,9074
2020,8,busan,16683,8896,8987
2020,9,busan,14716,7999,8073
2020,10,busan,14635,8059,8153
2020,11,busan,13962,7691,7817
2020,12,busan,12783,7173,7462
2020,1,daegu,10418,6954,7020
2020,2,daegu,8955,5530,5632
2020,3,daegu,9589,4965,5087
2020,4,daegu,8880,5163,5260
2020,5,daegu,9932,5785,5837
2020,6,daegu,9948,5903,5952
2020,7,daegu,10473,6319,6366
2020,8,daegu,11142,6519,6587
2020,9,daegu,10135,5954,6017
2020,10,daegu,10284,6340,6399
2020,11,daegu,9752,6040,6086
2020,12,daegu,9871,5951,6056
2020,1,incheon,12837,8452,8541
2020,2,incheon,11440,7154,7247
2020,3,incheon,10593,6641,6744
2020,4,incheon,10671,6714,6804
2020,5,incheon,12127,7579,7649
2020,6,incheon,12637,7917,8051
2020,7,incheon,13960,8397,8518
2020,8,incheon,14099,8397,8488
2020,9,incheon,12435,7324,7430
2020,10,incheon,13369,7917,8022
2020,11,incheon,12121,7325,7416
2020,12,incheon,11296,6875,6982
2020,1,gwangju,5444,3907,3974
2020,2,gwangju,4586,3212,3250
2020,3,gwangju,4483,3082,3110
2020,4,gwangju,4859,3222,3269
2020,5,gwangju,5767,3832,3886
2020,6,gwangju,6061,4021,4081
2020,7,gwangju,5847,3751,3844
2020,8,gwangju,6119,3791,3844
2020,9,gwangju,5437,3542,3610
2020,10,gwangju,5468,3670,3717
2020,11,gwangju,5416,3482,3532
2020,12,gwangju,5179,3330,3429
2020,1,daejeon,6508,4466,4508
2020,2,daejeon,5525,3607,3648
2020,3,daejeon,5391,3172,3202
2020,4,daejeon,5574,3322,3349
2020,5,daejeon,6413,3903,3938
2020,6,daejeon,6414,3824,3867
2020,7,daejeon,6666,3828,3859
2020,8,daejeon,6953,3907,3933
2020,9,daejeon,6273,3582,3605
2020,10,daejeon,6459,3782,3824
2020,11,daejeon,5921,3561,3587
2020,12,daejeon,5829,3313,3349
2020,1,ulsan,3518,2544,2590
2020,2,ulsan,3126,2106,2146
2020,3,ulsan,3218,2050,2086
2020,4,ulsan,3149,2027,2073
2020,5,ulsan,3431,2301,2338
2020,6,ulsan,3721,2509,2564
2020,7,ulsan,3866,2489,2565
2020,8,ulsan,3921,2650,2721
2020,9,ulsan,3651,2351,2394
2020,10,ulsan,3648,2332,2437
2020,11,ulsan,3623,2360,2402
2020,12,ulsan,3330,2194,2293
2020,1,sejong,1179,819,836
2020,2,sejong,971,646,654
2020,3,sejong,1219,813,852
2020,4,sejong,1304,704,732
2020,5,sejong,1364,748,764
2020,6,sejong,1402,770,782
2020,7,sejong,1560,801,811
2020,8,sejong,1777,853,865
2020,9,sejong,1364,732,749
2020,10,sejong,1320,752,770
2020,11,sejong,1257,694,705
2020,12,sejong,1250,657,671
2020,1,gyeonggi,54921,34877,35457
2020,2,gyeonggi,46820,28038,28474
2020,3,gyeonggi,46469,26447,26854
2020,4,gyeonggi,47702,27062,27441
2020,5,gyeonggi,54176,31540,32036
2020,6,gyeonggi,55873,32497,33009
2020,7,gyeonggi,58840,34055,34574
2020,8,gyeonggi,59917,33207,33647
2020,9,gyeonggi,53416,29636,30066
2020,10,gyeonggi,55802,31622,32120
2020,11,gyeonggi,51865,29367,29832
2020,12,gyeonggi,50332,27571,28013
2020,1,gangwon,8533,5916,6077
2020,2,gangwon,6858,4657,4750
2020,3,gangwon,6719,4411,4485
2020,4,gangwon,7134,4730,4823
2020,5,gangwon,8326,5572,5702
2020,6,gangwon,8933,5909,6096
2020,7,gangwon,9584,6310,6467
2020,8,gangwon,10406,6496,6672
2020,9,gangwon,8516,5574,5698
2020,10,gangwon,8974,5810,5969
2020,11,gangwon,8039,5283,5415
2020,12,gangwon,7804,4878,5035
2020,1,chungbuk,7944,4975,5095
2020,2,chungbuk,7049,4183,4280
2020,3,chungbuk,7431,3964,4042
2020,4,chungbuk,7771,4279,4417
2020,5,chungbuk,8627,4932,5049
2020,6,chungbuk,8786,5064,5190
2020,7,chungbuk,9300,5205,5292
2020,8,chungbuk,9769,5285,5427
2020,9,chungbuk,8489,4913,5046
2020,10,chungbuk,8573,4920,5067
2020,11,chungbuk,8248,4639,4755
2020,12,chungbuk,7788,4379,4566
2020,1,chungnam,12402,7336,7497
2020,2,chungnam,11018,5993,6125
2020,3,chungnam,11496,5763,5900
2020,4,chungnam,12026,5954,6137
2020,5,chungnam,13584,7135,7347
